idx,start,artist,title,bpm,song_key,camelot,genres,release_date,show_date,show_venue,duration_ms
1,0:00,Pink Floyd,The Great Gig in the Sky (SoDown & Mocha Remix),,,,Rock,1973-03-01,2026-08-09,Elements Festival,
2,1:50,Ravenscoon,Checkmate,,,,Electronic,2024-11-22,2026-08-09,Elements Festival,
3,2:30,Heyz,Coming Up (Like That),,,,Dance,2024-04-12,2026-08-09,Elements Festival,
4,3:40,,Jaguar (Pierce & Hazea Remix) / Nissan Altima (32LVS Edit),,,,,,2026-08-09,Elements Festival,
5,5:50,P.A.F.F.,Highly / Trance Trap,,,,,,2026-08-09,Elements Festival,
6,6:50,32LVS,ID,,,,,,2026-08-09,Elements Festival,
7,10:10,Jimi Hendrix,Purple Haze (Extrakt Flip),,,,Rock,1967-03-17,2026-08-09,Elements Festival,
8,11:20,Buku,Do U Want 2,,,,Dance,2019-12-20,2026-08-09,Elements Festival,
9,12:20,Heyz,Anyway,,,,Dance,2021-04-23,2026-08-09,Elements Festival,
10,13:40,SoDown,Bring the Funk Back,,,,Electronic,2023-10-27,2026-08-09,Elements Festival,
11,14:40,,Say It x Soundboy (Celo Edit) x Freeway (Aquabass Edit),,,,,,2026-08-09,Elements Festival,
12,16:00,SoDown,Eye of the Mind,,,,Electronic,2024-11-20,2026-08-09,Elements Festival,
13,17:20,,Daydreaming (Effin Flip),,,,,,2026-08-09,Elements Festival,
14,19:20,,Look At Me Now (Zoey808 Flip),,,,,,2026-08-09,Elements Festival,
15,21:15,,Just Dance (Z3LLA & Lucky Flip),,,,,,2026-08-09,Elements Festival,
16,23:15,Carole King,I Feel the Earth Move (32LVS Flip),,,,Pop,1971-02-10,2026-08-09,Elements Festival,
17,26:50,Ninajirachi,Fuck My Computer (PZZS Remix),,,,Electro,2025-05-14,2026-08-09,Elements Festival,
18,28:10,Moore Kismet,TEAR U APART,,,,Bass,2025-04-25,2026-08-09,Elements Festival,
19,30:28,Ninajirachi,CSRIAC (Remix),,,,,,2026-08-09,Elements Festival,
20,32:00,Frost Children,Falling (Eliminate Remix),,,,,2026-06-12,2026-08-09,Elements Festival,
21,32:42,Frost Children,Falling (FRAXURE Remix),,,,Electronic,2025-07-01,2026-08-09,Elements Festival,
22,34:32,"Eliminate, Pixel Terror",thinkaboutit x Crush,,,,,2024-02-02,2026-08-09,Elements Festival,
23,36:27,32LVS,Midnight Sun x Language (Hex Cougar Remix) — 32LVS Mashup,,,,,,2026-08-09,Elements Festival,
24,40:05,Charli xcx,Wall of Sound (32LVS Remix),,,,Pop,2026-01-16,2026-08-09,Elements Festival,
